learning_rate,batch_size,num_epochs,regularization_lambda,train_auc,val_auc
0.0001,512,10,0,0.6066673125222449,
0.0001,256,10,0,0.6066673125222449,
0.001,256,10,0,0.6066673125222449,
0.0001,256,20,0,0.6066673125222449,
0.0001,512,10,0.01,0.6066673125222449,
0.001,256,10,0.01,0.6066673125222449,
0.001,256,20,0.01,0.6066673125222449,
0.0001,512,20,0.01,0.6066673125222449,
0.0001,256,20,0.01,0.6066673125222449,
0.0001,256,10,0.01,0.6066673125222449,
0.0001,512,20,0,0.6066673125222449,
0.001,256,20,0,0.6066673125222449,
0.001,512,10,0,0.6066673125222449,
0.001,512,10,0.01,0.6066673125222449,
0.001,512,20,0.01,0.6066673125222449,
0.001,512,20,0,0.6066673125222449,
