epoch,train_iou,val_iou
1,0.8956,0.9743
2,0.9762,0.9848
3,0.9829,0.983
4,0.9854,0.9911
5,0.9904,0.9891
6,0.9911,0.9916
7,0.9918,0.993
8,0.9915,0.9926
9,0.9939,0.9923
10,0.9952,0.9952
11,0.9945,0.9901
12,0.9947,0.9949
13,0.994,0.9935
14,0.9945,0.9941
15,0.9961,0.9973
16,0.9958,0.9965
17,0.9949,0.9965
18,0.9964,0.9976
19,0.9966,0.996
20,0.9965,0.9964
21,0.9959,0.9954
22,0.9968,0.995
23,0.9964,0.996
24,0.9968,0.9967
25,0.9959,0.9947
26,0.9966,0.9968
27,0.9968,0.9934
28,0.9962,0.995
29,0.9971,0.9968
30,0.996,0.997
31,0.9964,0.9976
32,0.9963,0.9961
33,0.9974,0.9982
34,0.9959,0.997
35,0.9977,0.9979
36,0.9974,0.9953
37,0.9972,0.9959
38,0.996,0.9975
39,0.9975,0.9984
40,0.9981,0.9972
