sep=;,,,,,,,,,,,,,,,,,,,,,,,,,,,
OBJECTID,type,crash/near-miss date,crash/near-miss mode,crash/near-miss time of day,mode involved,e-scooter involved,Was anyone injured?,crash cause,crash narrative,nearmiss cause,police,unsafe location mode,unsafe location time of day,unsafe location cause,safe location mode,safe location cause,mobility device,e-bike,e-scooter,improvement,improvement narrative,address,report date,latitude,longitude,type,coordinates
1,positive,,,,,,,,,,,,,,,,,,,,,,2018/10/01,37.85210642,-122.2663736,polyline,"[[-122.26684570338,37.855135282701],[-122.265901565931,37.8491036053268]]"
26,unsafe,,,,,,,,,,,bike,"day, night",poor-street,,,,,,,,,2018/10/01,37.86722269,-122.263246,polyline,"[[-122.263111999632,37.865621999652],[-122.263648999932,37.8681800001962]]"
27,nearMiss,10/11/2018,bike,night,driver,,none,,,poor-lighting,,,,,,,,,,,,,2018/10/01,37.85584561,-122.2623775,polyline,"[[-122.262382999711,37.8557790001916],[-122.26237199984,37.8559229999947]]"
28,nearMiss,10/11/2018,bike,night,driver,,none,,,poor-lighting,,,,,,,,,,,,,2018/10/01,37.8558611,-122.2623235,polyline,"[[-122.262334000205,37.8558380002484],[-122.262313000289,37.8559270002807]]"
39,nearMiss,08/2018,wheelchair,day,driver,,none,,,no-yield,,,,,,,,,,,,,2018/10/01,37.86786842,-122.265686,polyline,"[[-122.265690000106,37.8679399998569],[-122.26568199971,37.8679740002834]]"
42,unsafe,,,,,,,,,,,"walk, ride","day, night","poor-lighting, obstacle, no-yield",,,,,,,,,2018/10/01,37.86157387,-122.285354,polyline,"[[-122.289366000429,37.8611269999096],[-122.281342000376,37.8621209998091]]"
44,unsafe,,,,,,,,,,,bike,"day, night","poor-bikelane, driving-speed",,,,,,,,,2018/10/01,37.83968457,-122.282445,polyline,"[[-122.279162000286,37.8290059996993],[-122.285727999598,37.850256000231]]"
45,nearMiss,01/01/2019,bike,day,driver,,none,,,other,,,,,,,,,,,,,2018/10/01,37.86707927,-122.283915,polyline,"[[-122.283946999716,37.8673239997575],[-122.283883000142,37.8668159998258]]"
48,unsafe,,,,,,,,,,,bike,"day, night","poor-bikelane, poor-street, poor-lighting, driving-speed",,,,,,,,"1139 Gilman St, Albany, CA, 94706, USA",2019/01/29,37.88082515,-122.2943056,polyline,"[[-122.298002000227,37.880053000321],[-122.290791999586,37.8815599998555]]"
53,unsafe,,,,,,,,,,,"bike, scooter","day, night","poor-street, poor-lighting, driving-speed, other",,,,,,,,"2208-2298 6th St, Berkeley, CA, 94710, USA",2019/02/19,37.86360429,-122.2963416,polyline,"[[-122.297509000307,37.8676030001412],[-122.295427000126,37.8608389997871],[-122.294074999691,37.8602119997582]]"
